Filter,SWAF,TAF,NAF
FP, 0.15, 0.070000, 0.080000
FP, 0.07, 0.069000, 0.084000
FP, 0.07, 0.100000, 0.032000
FP, 0.07, 0.100000, 0.031000
PASS, 0.362, 0.250000, 0.022000
FP, 0.008985, 0.800000, 0.000000
PASS, 0.013, 0.357000, 0.000000
FP, 0.119, 0.087000, 0.057000
FP, 0.138, 0.111000, 0.056000
FP, 0.138, 0.200000, 0.222000
FP, 0.138, 0.556000, 0.036000
FP, 0.088, 0.077000, 0.108000
FP, 0.331, 0.052000, 0.138000
FP, 0.007, 0.037000, 0.000000
FP, 0.0095, 0.070000, 0.000000
FP, 0.141, 0.068000, 0.071000
FP, 0.011, 0.074000, 0.059000
FP, 0.004, 0.083000, 0.036000
FP, 0.0025, 0.091000, 0.037000
FP, 0.025, 0.107000, 0.000000
FP, 0.047, 0.115000, 0.000000
FP, 0.0035, 0.044000, 0.020000
FP, 0.003018, 0.037000, 0.019000
FP, 0.03, 0.044000, 0.020000
FP, 0.003, 0.045000, 0.020000
FP, 0.032, 0.042000, 0.022000
FP, 0.032, 0.043000, 0.023000
FP, 0.028, 0.043000, 0.023000
FP, 0.028, 0.095000, 0.000000
FP, 0.134, 0.076000, 0.039000
FP, 0.064, 0.047000, 0.078000
FP, 0.035, 0.054000, 0.043000
FP, 0.045, 0.133000, 0.065000
FP, 0.407, 0.073000, 0.051000
FP, 0.163, 0.066000, 0.024000
FP, 0.163, 0.054000, 0.071000
FP, 0.163, 0.064000, 0.000000
FP, 0.163, 0.064000, 0.000000
FP, 0.163, 0.065000, 0.000000
FP, 0.163, 0.043000, 0.000000
FP, 0.163, 0.055000, 0.000000
FP, 0.163, 0.068000, 0.000000
FP, 0.163, 0.068000, 0.042000
FP, 0.163, 0.081000, 0.043000
FP, 0.163, 0.080000, 0.042000
FP, 0.163, 0.082000, 0.061000
FP, 0.163, 0.096000, 0.085000
FP, 0.163, 0.091000, 0.080000
FP, 0.163, 0.068000, 0.080000
FP, 0.163, 0.056000, 0.078000
FP, 0.163, 0.033000, 0.061000
FP, 0.017, 0.038000, 0.000000
FP, 0.017, 0.038000, 0.000000
FP, 0.173, 0.083000, 0.080000
FP, 0.009, 0.056000, 0.024000
FP, 0.008, 0.055000, 0.023000
FP, 0.13, 0.109000, 0.110000
FP, 0.002, 0.053000, 0.023000
FP, 0.0045, 0.053000, 0.024000
FP, 0.0025, 0.053000, 0.025000
FP, 0.0025, 0.053000, 0.025000
FP, 0.0025, 0.174000, 0.238000
FP, 0.0025, 0.051000, 0.103000
PASS, 0.064, 0.200000, 0.000000
FP, 0.064, 0.081000, 0.043000
FP, 0.064, 0.046000, 0.033000
FP, 0.064, 0.071000, 0.036000
FP, 0.064, 0.071000, 0.036000
FP, 0.064, 0.111000, 0.091000
FP, 0.003, 0.070000, 0.111000
FP, 0.002, 0.065000, 0.000000
FP, 0.002, 0.065000, 0.000000
FP, 0.0015, 0.065000, 0.000000
FP, 0.0015, 0.065000, 0.000000
FP, 0.002, 0.065000, 0.000000
FP, 0.002, 0.111000, 0.029000
FP, 0.002, 0.063000, 0.056000
FP, 0.002, 0.065000, 0.056000
FP, 0.002, 0.067000, 0.056000
FP, 0.002, 0.069000, 0.056000
PASS, 0.002, 0.176000, 0.000000
FP, 0.002, 0.061000, 0.000000
FP, 0.004, 0.063000, 0.000000
FP, 0.004, 0.038000, 0.000000
FP, 0.003, 0.040000, 0.000000
FP, 0.003, 0.040000, 0.000000
FP, 0.003, 0.047000, 0.000000
FP, 0.003, 0.045000, 0.000000
FP, 0.003, 0.048000, 0.000000
FP, 0.003, 0.049000, 0.000000
FP, 0.003, 0.073000, 0.031000
FP, 0.001, 0.075000, 0.031000
FP, 0.001, 0.079000, 0.061000
FP, 0.001, 0.049000, 0.029000
FP, 0.001, 0.045000, 0.029000
FP, 0.001, 0.048000, 0.028000
FP, 0.001, 0.048000, 0.029000
FP, 0.001, 0.063000, 0.000000
FP, 0.001, 0.065000, 0.000000
FP, 0.367, 0.737000, 0.000000
FP, 0.367, 0.034000, 0.000000
FP, 0.367, 0.036000, 0.000000
FP, 0.257, 0.091000, 0.219000
FP, 0.026, 0.085000, 0.127000
FP, 0.001, 0.056000, 0.000000
FP, 0.001, 0.056000, 0.000000
FP, 0.001, 0.054000, 0.056000
FP, 0.001, 0.071000, 0.048000
FP, 0.001, 0.068000, 0.045000
FP, 0.001, 0.067000, 0.120000
FP, 0.001, 0.067000, 0.125000
FP, 0.001, 0.065000, 0.125000
FP, 0.028, 0.091000, 0.000000
FP, 0.02, 0.088000, 0.000000
FP, 0.016, 0.086000, 0.000000
FP, 0.015, 0.086000, 0.000000
FP, 0.00951, 0.079000, 0.000000
FP, 0.008509, 0.081000, 0.000000
FP, 0.008509, 0.057000, 0.000000
FP, 0.008509, 0.056000, 0.000000
FP, 0.008509, 0.054000, 0.037000
FP, 0.008509, 0.054000, 0.038000
FP, 0.002002, 0.040000, 0.000000
FP, 0.002002, 0.040000, 0.000000
FP, 0.003, 0.111000, 0.000000
FP, 0.052, 0.098000, 0.075000
FP, 0.052, 0.035000, 0.026000
FP, 0.052, 0.035000, 0.026000
FP, 0.052, 0.036000, 0.025000
FP, 0.052, 0.036000, 0.026000
