Filter,SWAF,TAF,NAF
FP, 0.017, 0.063000, 0.049000
FP, 0.018, 0.040000, 0.071000
FP, 0.005946, 0.400000, 0.024000
FP, 0.012, 0.159000, 0.067000
FP, 0.009529, 0.176000, 0.125000
FP, 0.038, 0.103000, 0.068000
FP, 0.024, 0.091000, 0.037000
FP, 0.002, 0.080000, 0.061000
FP, 0.0055, 0.088000, 0.087000
FP, 0.033, 0.169000, 0.086000
FP, 0.263, 0.059000, 0.041000
FP, 0.056, 0.057000, 0.040000
FP, 0.129, 0.111000, 0.036000
FP, 0.01, 0.125000, 0.032000
FP, 0.01, 0.125000, 0.032000
FP, 0.00756, 0.133000, 0.030000
FP, 0.007056, 0.133000, 0.030000
FP, 0.023, 0.115000, 0.137000
FP, 0.028, 0.104000, 0.869000
PASS, 0.361, 0.222000, 0.019000
PASS, 0.004, 0.364000, 0.000000
FP, 0.042, 0.095000, 0.036000
FP, 0.044, 0.098000, 0.038000
FP, 0.045, 0.143000, 0.036000
FP, 0.045, 0.174000, 0.055000
FP, 0.051, 0.170000, 0.055000
FP, 0.051, 0.174000, 0.053000
FP, 0.017, 0.082000, 0.041000
FP, 0.014, 0.067000, 0.042000
FP, 0.013, 0.069000, 0.021000
FP, 0.012, 0.071000, 0.023000
FP, 0.012, 0.070000, 0.023000
FP, 0.0055, 0.038000, 0.019000
FP, 0.0085, 0.182000, 0.147000
FP, 0.0085, 0.143000, 0.109000
FP, 0.02, 0.133000, 0.034000
FP, 0.139, 0.143000, 0.059000
FP, 0.139, 0.061000, 0.087000
FP, 0.139, 0.050000, 0.071000
FP, 0.019, 0.063000, 0.091000
FP, 0.0095, 0.065000, 0.038000
FP, 0.141, 0.118000, 0.065000
FP, 0.003, 0.125000, 0.028000
FP, 0.003, 0.143000, 0.000000
FP, 0.003, 0.150000, 0.000000
FP, 0.003, 0.158000, 0.000000
FP, 0.003, 0.158000, 0.000000
FP, 0.003, 0.100000, 0.000000
FP, 0.003, 0.077000, 0.024000
FP, 0.003, 0.077000, 0.024000
FP, 0.0005, 0.095000, 0.020000
FP, 0.004, 0.095000, 0.020000
FP, 0.054, 0.064000, 0.039000
FP, 0.053, 0.065000, 0.039000
FP, 0.054, 0.067000, 0.039000
FP, 0.025, 0.170000, 0.061000
FP, 0.025, 0.051000, 0.078000
FP, 0.025, 0.059000, 0.000000
FP, 0.025, 0.059000, 0.000000
FP, 0.025, 0.077000, 0.000000
FP, 0.025, 0.077000, 0.000000
FP, 0.025, 0.077000, 0.000000
FP, 0.025, 0.098000, 0.000000
FP, 0.025, 0.095000, 0.000000
FP, 0.025, 0.103000, 0.000000
FP, 0.025, 0.077000, 0.000000
FP, 0.025, 0.057000, 0.000000
FP, 0.025, 0.056000, 0.000000
FP, 0.025, 0.054000, 0.000000
FP, 0.0035, 0.065000, 0.000000
FP, 0.005, 0.065000, 0.000000
FP, 0.013, 0.087000, 0.000000
FP, 0.015, 0.105000, 0.000000
FP, 0.022, 0.167000, 0.048000
FP, 0.031, 0.200000, 0.116000
FP, 0.01, 0.098000, 0.107000
FP, 0.01, 0.042000, 0.026000
FP, 0.01, 0.040000, 0.027000
FP, 0.01, 0.038000, 0.028000
FP, 0.01, 0.037000, 0.028000
FP, 0.01, 0.033000, 0.022000
FP, 0.01, 0.033000, 0.022000
FP, 0.01, 0.033000, 0.020000
FP, 0.01, 0.032000, 0.019000
FP, 0.01, 0.033000, 0.020000
FP, 0.01, 0.044000, 0.053000
FP, 0.01, 0.043000, 0.051000
FP, 0.01, 0.043000, 0.051000
FP, 0.0015, 0.060000, 0.030000
FP, 0.0015, 0.061000, 0.030000
FP, 0.212, 0.075000, 0.040000
FP, 0.044, 0.097000, 0.082000
FP, 0.009, 0.033000, 0.082000
FP, 0.007, 0.033000, 0.082000
FP, 0.004, 0.111000, 0.000000
FP, 0.0015, 0.111000, 0.000000
FP, 0.0015, 0.063000, 0.000000
FP, 0.0015, 0.056000, 0.000000
FP, 0.0015, 0.081000, 0.000000
FP, 0.0015, 0.081000, 0.000000
FP, 0.0005, 0.081000, 0.000000
FP, 0.003, 0.077000, 0.000000
FP, 0.003, 0.077000, 0.000000
FP, 0.003, 0.069000, 0.038000
FP, 0.003, 0.065000, 0.037000
FP, 0.003, 0.063000, 0.037000
FP, 0.003, 0.061000, 0.019000
FP, 0.04, 0.200000, 0.146000
FP, 0.23, 0.178000, 0.042000
FP, 0.002, 0.083000, 0.030000
FP, 0.008008, 0.060000, 0.033000
FP, 0.257, 0.188000, 0.098000
FP, 0.257, 0.176000, 0.083000
FP, 0.077, 0.111000, 0.069000
FP, 0.001, 0.051000, 0.083000
FP, 0.0015, 0.056000, 0.054000
FP, 0.002, 0.054000, 0.051000
FP, 0.007, 0.056000, 0.053000
FP, 0.007, 0.091000, 0.000000
FP, 0.014, 0.135000, 0.057000
FP, 0.015, 0.135000, 0.057000
FP, 0.015, 0.107000, 0.044000
FP, 0.0025, 0.069000, 0.033000
FP, 0.0035, 0.070000, 0.017000
FP, 0.0035, 0.071000, 0.017000
FP, 0.0035, 0.071000, 0.016000
FP, 0.004, 0.074000, 0.017000
FP, 0.02, 0.222000, 0.054000
FP, 0.041, 0.136000, 0.038000
FP, 0.106, 0.078000, 0.057000
FP, 0.106, 0.080000, 0.037000
FP, 0.106, 0.082000, 0.037000
FP, 0.014, 0.082000, 0.049000
FP, 0.011, 0.084000, 0.050000
FP, 0.011, 0.189000, 0.086000
FP, 0.011, 0.077000, 0.029000
FP, 0.131, 0.055000, 0.097000
FP, 0.006, 0.024000, 0.059000
FP, 0.002, 0.031000, 0.043000
FP, 0.204, 0.036000, 0.038000
FP, 0.204, 0.067000, 0.061000
FP, 0.08, 0.077000, 0.068000
FP, 0.08, 0.014000, 0.004651
FP, 0.08, 0.014000, 0.009132
FP, 0.014, 0.133000, 0.115000
FP, 0.017, 0.030000, 0.042000
FP, 0.126, 0.027000, 0.053000
FP, 0.126, 0.333000, 0.078000
FP, 0.025, 1.000000, 0.189000
FP, 0.056, 1.000000, 0.412000
FP, 0.006652, 1.000000, 0.027000
FP, 0.049, 0.129000, 0.098000
FP, 0.0025, 0.286000, 0.000000
FP, 0.0025, 0.400000, 0.000000
FP, 0.102, 0.143000, 0.043000
FP, 0.026, 0.154000, 0.071000
FP, 0.026, 0.154000, 0.080000
FP, 0.026, 0.167000, 0.083000
FP, 0.016, 0.167000, 0.080000
FP, 0.016, 0.222000, 0.100000
FP, 0.017, 0.222000, 0.056000
FP, 0.019, 0.222000, 0.059000
FP, 0.021, 0.227000, 0.075000
